"latitude","longitude","total_user_spot"
"41.437526000000013","2.1106969999999992","5"
"41.302571","2.1196939999999991","9"
"41.419532000000011","2.2366549999999981","22"
"41.347556000000004","2.0477179999999997","15"
"41.365550000000006","2.0747089999999995","13"
"41.428529000000012","2.128690999999999","20"
"41.383544000000008","2.0657119999999995","9"
"41.347556000000004","2.0747089999999995","21"
"41.437526000000013","2.2186609999999982","10"
"41.311568000000001","2.1106969999999992","24"
"41.437526000000013","2.1826729999999985","25"
"41.347556000000004","2.1646789999999987","10"
"41.320565000000002","2.1376879999999989","3"
"41.347556000000004","2.1016999999999992","15"
"41.383544000000008","2.0387209999999998","7"
"41.437526000000013","2.1646789999999987","19"
"41.356553000000005","2.1826729999999985","23"
"41.428529000000012","2.1196939999999991","33"
"41.428529000000012","2.2096639999999983","9"
